iter	Passed	Remaining
0	110	109953
1	111	55502
2	111	37180
3	112	28018
4	113	22509
5	113	18860
6	114	16259
7	115	14306
8	116	12793
9	117	11596
10	117	10597
11	118	9766
12	119	9062
13	120	8460
14	120	7937
15	121	7480
16	122	7081
17	123	6726
18	124	6411
19	125	6126
20	125	5870
21	126	5634
22	127	5416
23	128	5224
24	129	5043
25	130	4871
26	130	4712
27	131	4566
28	132	4429
29	133	4303
30	133	4187
31	134	4077
32	135	3972
33	136	3873
34	137	3778
35	137	3690
36	138	3606
37	139	3534
38	140	3461
39	141	3389
40	142	3322
41	142	3258
42	143	3196
43	144	3138
44	145	3080
45	146	3030
46	146	2978
47	147	2928
48	148	2881
49	149	2834
50	149	2790
51	150	2747
52	151	2706
53	152	2668
54	153	2630
55	153	2593
56	154	2557
57	155	2522
58	156	2489
59	156	2457
60	157	2426
61	158	2397
62	159	2368
63	159	2339
64	160	2311
65	161	2284
66	162	2258
67	162	2233
68	163	2208
69	164	2186
70	165	2164
71	166	2140
72	166	2119
73	167	2097
74	168	2076
75	169	2056
76	169	2036
77	170	2019
78	171	2004
79	172	1986
80	173	1968
81	175	1962
82	175	1941
83	176	1927
84	177	1911
85	178	1895
86	178	1878
87	179	1861
88	180	1845
89	180	1829
90	181	1813
91	182	1798
92	182	1784
93	183	1770
94	184	1756
95	185	1742
96	185	1728
97	186	1713
98	186	1700
99	187	1687
100	188	1674
101	188	1661
102	189	1651
103	190	1639
104	190	1627
105	191	1614
106	192	1603
107	192	1592
108	193	1580
109	194	1570
110	194	1559
111	195	1549
112	196	1538
113	196	1528
114	197	1519
115	198	1510
116	198	1499
117	199	1490
118	200	1481
119	200	1472
120	201	1465
121	202	1455
122	203	1447
123	203	1439
124	204	1430
125	205	1422
126	205	1413
127	206	1405
128	207	1399
129	207	1391
130	208	1384
131	209	1376
132	209	1368
133	210	1361
134	211	1353
135	212	1348
136	212	1340
137	213	1333
138	214	1326
139	214	1320
140	215	1313
141	215	1305
142	216	1300
143	217	1293
144	218	1287
145	218	1280
146	219	1274
147	220	1268
148	220	1262
149	221	1256
150	222	1249
151	222	1243
152	223	1237
153	224	1231
154	224	1225
155	225	1220
156	226	1214
157	226	1209
158	227	1203
159	228	1198
160	228	1191
161	229	1186
162	230	1181
163	230	1177
164	231	1171
165	232	1167
166	233	1163
167	233	1158
168	234	1153
169	235	1149
170	236	1144
171	236	1139
172	237	1134
173	238	1131
174	239	1127
175	239	1122
176	240	1117
177	241	1112
178	241	1108
179	242	1104
180	243	1100
181	243	1095
182	244	1092
183	245	1088
184	245	1083
185	246	1079
186	247	1075
187	247	1071
188	248	1066
189	249	1062
190	250	1059
191	250	1055
192	251	1051
193	252	1047
194	253	1046
195	254	1042
196	254	1038
197	255	1034
198	256	1030
199	256	1027
200	257	1023
201	258	1019
202	258	1015
203	259	1011
204	260	1008
205	260	1004
206	261	1000
207	261	997
208	262	994
209	263	990
210	263	987
211	264	983
212	265	980
213	265	976
214	266	973
215	267	969
216	267	965
217	268	962
218	269	959
219	269	956
220	270	953
221	271	949
222	271	946
223	272	944
224	273	940
225	273	937
226	274	934
227	275	932
228	276	929
229	276	926
230	277	923
231	278	920
232	278	917
233	279	914
234	279	911
235	280	908
236	281	905
237	282	903
238	282	900
239	283	897
240	283	894
241	284	891
242	285	888
243	285	885
244	286	883
245	287	881
246	288	878
247	288	875
248	289	873
249	290	871
250	291	868
251	291	865
252	292	863
253	292	860
254	293	858
255	294	855
256	295	853
257	295	850
258	296	848
259	297	845
260	297	843
261	298	841
262	299	838
263	300	836
264	300	834
265	301	831
266	302	829
267	302	827
268	303	824
269	304	822
270	304	820
271	305	818
272	306	816
273	307	813
274	307	811
275	308	809
276	309	807
277	309	804
278	310	802
279	311	800
280	311	797
281	312	795
282	313	793
283	313	790
284	314	788
285	315	786
286	315	784
287	316	783
288	317	781
289	318	779
290	319	777
291	319	775
292	320	773
293	321	771
294	322	769
295	322	767
296	323	765
297	324	763
298	324	761
299	325	759
300	326	757
301	326	755
302	327	753
303	328	751
304	328	749
305	329	746
306	329	744
307	330	743
308	331	741
309	332	739
310	333	737
311	333	735
312	334	733
313	334	731
314	335	729
315	336	727
316	337	726
317	337	724
318	338	722
319	339	721
320	340	719
321	340	717
322	341	715
323	342	714
324	343	713
325	344	711
326	345	710
327	345	708
328	346	706
329	347	704
330	347	702
331	348	700
332	349	699
333	349	697
334	350	696
335	351	694
336	352	693
337	352	691
338	353	689
339	354	687
340	355	687
341	357	687
342	358	686
343	359	685
344	360	684
345	363	686
